Order_ID,Order_Date,Shipped_Date,Delivery_Date,Customer_Region,Warehouse,Product_Category,Quantity,Unit_Cost,Total_Cost,Transport_Mode,Carrier_Name,Order_Status,Delivery_Time,Delivery_On_Time,Delay_Days,Delivery_Accuracy,Delivery_Attempts,,,
ORD0018,01-04-2024,03-04-2024,05-04-2024,West,Warehouse D,Beauty,1,69.73,69.73,Rail,BlueDart,Delivered,4,Y,0,N,1,,,
ORD0019,16-08-2024,17-08-2024,23-08-2024,West,Warehouse C,Apparel,3,48.58,145.74,Air,Delhivery,Returned,7,Y,0,Y,1,,,
ORD0020,22-01-2024,23-01-2024,28-01-2024,East,Warehouse C,Beauty,2,163.54,327.08,Air,EcomExpress,Delivered,6,N,1,Y,2,,,
ORD0021,08-01-2024,11-01-2024,10-01-2024,East,Warehouse D,Home & Kitchen,3,71.63,214.89,Road,Delhivery,Delivered,2,Y,0,Y,2,,,
ORD0022,13-03-2024,15-03-2024,17-03-2024,East,Warehouse B,Grocery,3,91.15,273.45,Air,XpressBees,Delivered,4,Y,0,Y,1,,,
ORD0023,30-03-2024,02-04-2024,05-04-2024,West,Warehouse C,Beauty,1,102.12,102.12,Air,EcomExpress,Delivered,6,N,1,Y,1,,,
ORD0024,06-04-2024,09-04-2024,08-04-2024,South,Warehouse A,Apparel,1,86.73,86.73,Air,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0025,04-08-2024,06-08-2024,10-08-2024,West,Warehouse C,Home & Kitchen,3,67.17,201.51,Rail,Shadowfax,Delivered,6,N,2,Y,1,,,
ORD0026,29-07-2024,01-08-2024,04-08-2024,South,Warehouse B,Apparel,5,75.56,377.8,Road,BlueDart,Delivered,6,N,1,Y,1,,,
ORD0027,08-02-2024,09-02-2024,15-02-2024,North,Warehouse C,Electronics,4,25.36,101.44,Air,XpressBees,Delivered,7,Y,0,Y,2,,,
ORD0028,23-08-2024,24-08-2024,29-08-2024,South,Warehouse D,Home & Kitchen,2,130.37,260.74,Air,Shadowfax,Delivered,6,N,1,Y,2,,,
ORD0029,07-05-2024,10-05-2024,14-05-2024,South,Warehouse A,Home & Kitchen,5,173.09,865.45,Rail,XpressBees,Delivered,7,Y,0,Y,1,,,
ORD0030,29-01-2024,30-01-2024,02-02-2024,South,Warehouse B,Home & Kitchen,4,132.58,530.32,Road,BlueDart,Delivered,4,N,1,Y,1,,,
ORD0031,10-06-2024,13-06-2024,11-06-2024,East,Warehouse B,Home & Kitchen,1,138.38,138.38,Air,EcomExpress,Delivered,1,N,1,Y,1,,,
ORD0032,13-05-2024,15-05-2024,18-05-2024,South,Warehouse D,Electronics,4,43.24,172.96,Road,BlueDart,Cancelled,5,N,2,N,1,,,
ORD0033,20-07-2024,21-07-2024,20-07-2024,South,Warehouse D,Beauty,4,116.08,464.32,Road,Delhivery,Returned,0,N,2,Y,1,,,
ORD0034,25-03-2024,26-03-2024,02-04-2024,South,Warehouse D,Electronics,3,172.7,518.1,Road,XpressBees,Delivered,8,N,2,Y,2,,,
ORD0035,13-11-2024,15-11-2024,19-11-2024,West,Warehouse C,Apparel,4,180.73,722.92,Rail,XpressBees,Delivered,6,N,1,Y,1,,,
ORD0036,30-09-2024,01-10-2024,06-10-2024,South,Warehouse A,Grocery,5,63.94,319.7,Road,EcomExpress,Delivered,6,N,2,Y,1,,,
ORD0037,02-03-2024,05-03-2024,04-03-2024,East,Warehouse A,Electronics,4,145.31,581.24,Air,XpressBees,Delivered,2,N,2,Y,1,,,
ORD0038,23-11-2024,24-11-2024,26-11-2024,East,Warehouse A,Home & Kitchen,3,134.95,404.85,Rail,BlueDart,Delivered,3,N,1,Y,1,,,
ORD0039,08-01-2024,11-01-2024,11-01-2024,South,Warehouse B,Grocery,5,102.48,512.4,Road,EcomExpress,Returned,3,Y,0,Y,1,,,
ORD0040,07-01-2024,08-01-2024,11-01-2024,West,Warehouse C,Beauty,1,47.1,47.1,Rail,Shadowfax,Delivered,4,N,1,Y,1,,,
ORD0041,28-12-2024,30-12-2024,02-01-2025,South,Warehouse D,Home & Kitchen,1,198.96,198.96,Rail,XpressBees,Delivered,5,N,1,Y,2,,,
ORD0042,18-01-2024,20-01-2024,22-01-2024,East,Warehouse B,Apparel,5,186.38,931.9,Air,BlueDart,Delivered,4,N,2,N,3,,,
ORD0043,25-07-2024,27-07-2024,26-07-2024,North,Warehouse B,Beauty,5,83.17,415.85,Road,Delhivery,Returned,1,N,1,Y,1,,,
ORD0044,29-07-2024,01-08-2024,03-08-2024,East,Warehouse D,Electronics,2,186.7,373.4,Road,Delhivery,Delivered,5,N,1,Y,1,,,
ORD0045,30-04-2024,03-05-2024,05-05-2024,West,Warehouse B,Apparel,3,66.11,198.33,Rail,Shadowfax,Delivered,5,Y,0,Y,1,,,
ORD0046,23-01-2024,25-01-2024,30-01-2024,North,Warehouse B,Apparel,5,66.34,331.7,Rail,BlueDart,Delivered,7,N,2,Y,1,,,
ORD0047,13-11-2024,15-11-2024,18-11-2024,East,Warehouse C,Home & Kitchen,1,129.3,129.3,Road,Shadowfax,Delivered,5,Y,0,Y,1,,,
ORD0048,01-09-2024,04-09-2024,03-09-2024,East,Warehouse A,Beauty,3,74.22,222.66,Rail,BlueDart,Delivered,2,Y,0,Y,1,,,
ORD0049,02-08-2024,03-08-2024,08-08-2024,South,Warehouse B,Electronics,1,39.46,39.46,Air,Delhivery,Cancelled,6,Y,0,N,2,,,
ORD0050,27-01-2024,29-01-2024,03-02-2024,East,Warehouse D,Grocery,2,166.29,332.58,Air,Shadowfax,Delivered,7,Y,0,Y,1,,,
ORD0051,08-04-2024,11-04-2024,16-04-2024,South,Warehouse B,Electronics,4,193.4,773.6,Air,BlueDart,Delivered,8,N,3,Y,1,,,
ORD0052,31-05-2024,01-06-2024,06-06-2024,West,Warehouse D,Electronics,3,131.11,393.33,Road,BlueDart,Delivered,6,Y,0,N,1,,,
ORD0053,28-12-2024,29-12-2024,02-01-2025,South,Warehouse B,Beauty,1,85.78,85.78,Road,BlueDart,Delivered,5,Y,0,Y,1,,,
ORD0054,02-08-2024,04-08-2024,05-08-2024,North,Warehouse B,Beauty,1,140.81,140.81,Rail,EcomExpress,Delivered,3,Y,0,N,1,,,
ORD0055,01-04-2024,04-04-2024,07-04-2024,West,Warehouse A,Apparel,1,135.44,135.44,Air,Shadowfax,Delivered,6,Y,0,N,1,,,
ORD0056,09-03-2024,10-03-2024,15-03-2024,South,Warehouse D,Electronics,5,89.72,448.6,Road,XpressBees,Delivered,6,N,1,Y,1,,,
ORD0057,17-01-2024,18-01-2024,22-01-2024,East,Warehouse C,Grocery,4,18.74,74.96,Air,Delhivery,Delivered,5,Y,0,Y,1,,,
ORD0058,30-08-2024,02-09-2024,02-09-2024,North,Warehouse B,Beauty,2,155.04,310.08,Air,Shadowfax,Delivered,3,N,1,Y,1,,,
ORD0059,22-01-2024,23-01-2024,26-01-2024,East,Warehouse C,Electronics,2,127.01,254.02,Road,EcomExpress,Delivered,4,N,1,Y,1,,,
ORD0060,07-07-2024,10-07-2024,15-07-2024,West,Warehouse A,Home & Kitchen,2,105.2,210.4,Air,BlueDart,Delivered,8,N,1,Y,1,,,
ORD0061,09-04-2024,11-04-2024,12-04-2024,East,Warehouse B,Home & Kitchen,2,15.04,30.08,Road,BlueDart,Delivered,3,N,1,N,1,,,
ORD0062,22-05-2024,24-05-2024,26-05-2024,West,Warehouse D,Grocery,4,34.42,137.68,Rail,XpressBees,Delivered,4,Y,0,Y,1,,,
ORD0063,10-11-2024,12-11-2024,13-11-2024,South,Warehouse D,Electronics,2,49.27,98.54,Rail,Delhivery,Delivered,3,N,1,Y,1,,,
ORD0064,10-11-2024,11-11-2024,13-11-2024,East,Warehouse B,Apparel,2,139.77,279.54,Air,BlueDart,Delivered,3,Y,0,Y,2,,,
ORD0065,17-02-2024,18-02-2024,22-02-2024,West,Warehouse A,Beauty,2,59.53,119.06,Rail,Shadowfax,Delivered,5,Y,0,Y,1,,,
ORD0066,13-01-2024,15-01-2024,16-01-2024,East,Warehouse A,Electronics,4,89.41,357.64,Road,Shadowfax,Cancelled,3,N,1,N,1,,,
ORD0067,18-11-2024,19-11-2024,23-11-2024,North,Warehouse A,Grocery,3,198.2,594.6,Air,XpressBees,Delivered,5,N,1,Y,1,,,
ORD0068,03-06-2024,04-06-2024,05-06-2024,West,Warehouse D,Electronics,5,55.33,276.65,Air,XpressBees,Delivered,2,Y,0,Y,1,,,
ORD0069,10-12-2024,11-12-2024,12-12-2024,South,Warehouse A,Electronics,1,106,106,Road,Shadowfax,Delivered,2,Y,0,Y,2,,,
ORD0070,12-01-2024,14-01-2024,14-01-2024,South,Warehouse C,Grocery,4,192.12,768.48,Road,Delhivery,Delivered,2,Y,0,Y,3,,,
ORD0071,02-07-2024,05-07-2024,06-07-2024,East,Warehouse C,Electronics,4,118.95,475.8,Air,Delhivery,Delivered,4,N,2,Y,1,,,
ORD0072,18-02-2024,19-02-2024,21-02-2024,South,Warehouse B,Home & Kitchen,3,50.42,151.26,Rail,Shadowfax,Returned,3,Y,0,Y,1,,,
ORD0073,21-03-2024,22-03-2024,26-03-2024,East,Warehouse C,Beauty,2,20.94,41.88,Air,EcomExpress,Delivered,5,N,1,Y,2,,,
ORD0074,30-01-2024,02-02-2024,02-02-2024,North,Warehouse C,Grocery,2,194.04,388.08,Road,EcomExpress,Delivered,3,Y,0,Y,2,,,
ORD0075,15-01-2024,17-01-2024,21-01-2024,West,Warehouse A,Beauty,5,52.29,261.45,Air,Shadowfax,Delivered,6,N,1,Y,1,,,
ORD0076,07-05-2024,08-05-2024,13-05-2024,East,Warehouse A,Electronics,3,120.45,361.35,Road,EcomExpress,Returned,6,N,1,Y,1,,,
ORD0077,12-02-2024,15-02-2024,16-02-2024,North,Warehouse D,Electronics,5,153.14,765.7,Air,EcomExpress,Delivered,4,N,1,Y,1,,,
ORD0078,03-11-2024,06-11-2024,07-11-2024,West,Warehouse A,Grocery,3,57.26,171.78,Air,XpressBees,Delivered,4,N,1,Y,1,,,
ORD0079,01-10-2024,02-10-2024,08-10-2024,North,Warehouse D,Home & Kitchen,2,150.79,301.58,Road,Shadowfax,Delivered,7,Y,0,Y,1,,,
ORD0080,18-06-2024,20-06-2024,23-06-2024,East,Warehouse B,Electronics,4,192.81,771.24,Road,BlueDart,Delivered,5,N,2,Y,2,,,
ORD0081,27-04-2024,28-04-2024,04-05-2024,North,Warehouse B,Beauty,2,12.31,24.62,Air,XpressBees,Cancelled,7,Y,0,N,2,,,
ORD0082,19-04-2024,22-04-2024,24-04-2024,West,Warehouse B,Grocery,3,184.63,553.89,Air,XpressBees,Delivered,5,N,1,Y,1,,,
ORD0083,30-04-2024,01-05-2024,04-05-2024,South,Warehouse B,Electronics,1,142.19,142.19,Road,XpressBees,Delivered,4,Y,0,Y,1,,,
ORD0084,13-11-2024,14-11-2024,18-11-2024,South,Warehouse C,Grocery,1,183.9,183.9,Road,Delhivery,Cancelled,5,N,1,N,1,,,
ORD0085,02-05-2024,03-05-2024,08-05-2024,West,Warehouse A,Grocery,5,62.7,313.5,Road,XpressBees,Delivered,6,Y,0,Y,1,,,
ORD0086,06-03-2024,09-03-2024,09-03-2024,South,Warehouse C,Electronics,4,78.47,313.88,Rail,XpressBees,Delivered,3,N,1,Y,1,,,
ORD0087,05-07-2024,07-07-2024,09-07-2024,South,Warehouse B,Electronics,5,164.62,823.1,Rail,EcomExpress,Delivered,4,Y,0,Y,2,,,
ORD0088,30-10-2024,31-10-2024,05-11-2024,West,Warehouse C,Electronics,2,89.16,178.32,Air,BlueDart,Delivered,6,N,1,N,1,,,
ORD0089,16-03-2024,19-03-2024,17-03-2024,South,Warehouse C,Apparel,3,18.59,55.77,Rail,XpressBees,Delivered,1,N,1,Y,2,,,
ORD0090,25-07-2024,28-07-2024,28-07-2024,East,Warehouse C,Beauty,1,81.58,81.58,Rail,EcomExpress,Delivered,3,N,2,Y,2,,,
ORD0091,22-02-2024,24-02-2024,28-02-2024,North,Warehouse D,Beauty,1,99.05,99.05,Road,Delhivery,Delivered,6,N,1,Y,1,,,
ORD0092,29-06-2024,01-07-2024,04-07-2024,East,Warehouse C,Grocery,1,111.53,111.53,Road,XpressBees,Delivered,5,N,1,N,1,,,
ORD0093,22-10-2024,24-10-2024,28-10-2024,East,Warehouse C,Apparel,2,171.43,342.86,Rail,BlueDart,Delivered,6,N,2,Y,1,,,
ORD0094,24-06-2024,26-06-2024,26-06-2024,East,Warehouse A,Grocery,5,49.37,246.85,Rail,EcomExpress,Returned,2,N,2,Y,1,,,
ORD0095,25-08-2024,28-08-2024,29-08-2024,South,Warehouse D,Beauty,2,104.65,209.3,Air,Delhivery,Delivered,4,Y,0,Y,1,,,
ORD0096,26-12-2024,29-12-2024,01-01-2025,West,Warehouse C,Home & Kitchen,4,116.58,466.32,Rail,BlueDart,Returned,6,N,1,Y,1,,,
ORD0097,24-10-2024,26-10-2024,26-10-2024,South,Warehouse B,Apparel,5,127.86,639.3,Rail,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0098,23-06-2024,25-06-2024,27-06-2024,North,Warehouse C,Home & Kitchen,2,122.08,244.16,Rail,EcomExpress,Delivered,4,Y,0,Y,2,,,
ORD0099,12-09-2024,15-09-2024,17-09-2024,South,Warehouse C,Grocery,1,158.89,158.89,Rail,Shadowfax,Delivered,5,Y,0,Y,2,,,
ORD0100,28-11-2024,01-12-2024,29-11-2024,South,Warehouse B,Home & Kitchen,4,97.28,389.12,Air,XpressBees,Delivered,1,N,1,Y,1,,,
ORD0101,10-03-2024,11-03-2024,12-03-2024,West,Warehouse D,Home & Kitchen,5,76.01,380.05,Air,BlueDart,Delivered,2,Y,0,Y,1,,,
ORD0102,04-08-2024,06-08-2024,10-08-2024,West,Warehouse D,Grocery,3,36.38,109.14,Air,Shadowfax,Delivered,6,N,1,Y,1,,,
ORD0103,07-12-2024,10-12-2024,09-12-2024,North,Warehouse D,Beauty,3,107.89,323.67,Air,XpressBees,Cancelled,2,N,1,N,1,,,
ORD0104,26-07-2024,29-07-2024,30-07-2024,East,Warehouse B,Home & Kitchen,2,62.93,125.86,Air,Delhivery,Delivered,4,N,1,Y,1,,,
ORD0105,08-06-2024,09-06-2024,13-06-2024,East,Warehouse C,Home & Kitchen,2,179.9,359.8,Air,BlueDart,Delivered,5,N,1,Y,1,,,
ORD0106,24-10-2024,25-10-2024,27-10-2024,South,Warehouse C,Apparel,1,140.68,140.68,Road,BlueDart,Delivered,3,Y,0,Y,1,,,
ORD0107,25-07-2024,27-07-2024,31-07-2024,West,Warehouse B,Grocery,4,163.18,652.72,Rail,EcomExpress,Delivered,6,Y,0,Y,1,,,
ORD0108,14-07-2024,15-07-2024,18-07-2024,North,Warehouse C,Apparel,2,154.39,308.78,Air,BlueDart,Delivered,4,Y,0,Y,1,,,
ORD0109,05-05-2024,07-05-2024,11-05-2024,North,Warehouse B,Grocery,3,145.54,436.62,Rail,Shadowfax,Returned,6,Y,0,Y,1,,,
ORD0110,04-08-2024,05-08-2024,10-08-2024,North,Warehouse A,Beauty,2,77.29,154.58,Rail,Shadowfax,Delivered,6,Y,0,Y,1,,,
ORD0111,10-09-2024,13-09-2024,15-09-2024,South,Warehouse B,Grocery,1,169.73,169.73,Road,BlueDart,Delivered,5,Y,0,Y,1,,,
ORD0112,18-03-2024,20-03-2024,23-03-2024,East,Warehouse B,Beauty,1,139.03,139.03,Road,XpressBees,Delivered,5,Y,0,Y,1,,,
ORD0113,01-10-2024,03-10-2024,04-10-2024,South,Warehouse D,Home & Kitchen,2,115.97,231.94,Road,BlueDart,Delivered,3,N,1,Y,1,,,
ORD0114,25-09-2024,27-09-2024,28-09-2024,South,Warehouse A,Electronics,4,132.72,530.88,Road,Shadowfax,Delivered,3,Y,0,Y,3,,,
ORD0115,19-04-2024,22-04-2024,26-04-2024,East,Warehouse D,Home & Kitchen,1,11.43,11.43,Air,EcomExpress,Delivered,7,N,1,Y,1,,,
ORD0116,18-07-2024,19-07-2024,21-07-2024,North,Warehouse C,Electronics,1,25.24,25.24,Air,XpressBees,Delivered,3,N,1,Y,3,,,
ORD0117,02-12-2024,04-12-2024,06-12-2024,East,Warehouse C,Home & Kitchen,2,119.44,238.88,Road,BlueDart,Returned,4,Y,0,Y,3,,,
ORD0118,24-07-2024,26-07-2024,29-07-2024,North,Warehouse B,Apparel,3,165.96,497.88,Air,Delhivery,Delivered,5,N,1,Y,1,,,
ORD0119,09-03-2024,11-03-2024,10-03-2024,South,Warehouse D,Home & Kitchen,5,45.54,227.7,Rail,BlueDart,Delivered,1,N,1,Y,1,,,
ORD0120,31-08-2024,02-09-2024,02-09-2024,South,Warehouse C,Grocery,1,126.02,126.02,Rail,Shadowfax,Delivered,2,Y,0,Y,1,,,
ORD0121,18-11-2024,19-11-2024,25-11-2024,North,Warehouse A,Grocery,3,122.84,368.52,Air,XpressBees,Delivered,7,N,1,Y,1,,,
ORD0122,27-02-2024,28-02-2024,01-03-2024,North,Warehouse C,Beauty,2,71.25,142.5,Air,EcomExpress,Delivered,3,N,1,Y,1,,,
ORD0123,28-01-2024,29-01-2024,05-02-2024,West,Warehouse A,Grocery,3,99.9,299.7,Air,BlueDart,Delivered,8,N,3,Y,1,,,
ORD0124,17-11-2024,20-11-2024,23-11-2024,North,Warehouse B,Electronics,4,193.36,773.44,Air,Shadowfax,Delivered,6,N,1,Y,2,,,
ORD0125,08-07-2024,10-07-2024,15-07-2024,East,Warehouse C,Electronics,3,186.03,558.09,Air,BlueDart,Delivered,7,Y,0,Y,1,,,
ORD0126,04-10-2024,07-10-2024,09-10-2024,South,Warehouse B,Apparel,5,48.31,241.55,Air,XpressBees,Delivered,5,N,1,Y,2,,,
ORD0127,01-08-2024,04-08-2024,07-08-2024,East,Warehouse B,Grocery,2,182.49,364.98,Air,BlueDart,Delivered,6,N,2,Y,1,,,
ORD0128,25-05-2024,27-05-2024,02-06-2024,East,Warehouse D,Electronics,3,128.58,385.74,Air,Delhivery,Delivered,8,N,1,Y,1,,,
ORD0129,08-09-2024,11-09-2024,13-09-2024,North,Warehouse D,Home & Kitchen,2,113.28,226.56,Air,BlueDart,Returned,5,Y,0,Y,1,,,
ORD0130,01-08-2024,02-08-2024,06-08-2024,East,Warehouse A,Electronics,3,73.63,220.89,Road,EcomExpress,Delivered,5,N,1,Y,1,,,
ORD0131,25-01-2024,27-01-2024,31-01-2024,North,Warehouse A,Home & Kitchen,3,159.83,479.49,Air,Delhivery,Delivered,6,N,1,Y,1,,,
ORD0132,23-11-2024,26-11-2024,02-12-2024,West,Warehouse B,Home & Kitchen,4,118.28,473.12,Air,Shadowfax,Delivered,9,N,2,Y,1,,,
ORD0133,28-07-2024,30-07-2024,02-08-2024,South,Warehouse C,Beauty,4,96.83,387.32,Air,Delhivery,Delivered,5,N,1,Y,1,,,
ORD0134,02-03-2024,05-03-2024,09-03-2024,North,Warehouse A,Grocery,4,147.23,588.92,Air,BlueDart,Delivered,7,N,1,Y,1,,,
ORD0135,20-06-2024,22-06-2024,25-06-2024,West,Warehouse A,Electronics,3,123.82,371.46,Road,XpressBees,Delivered,5,N,1,N,1,,,
ORD0136,16-03-2024,18-03-2024,20-03-2024,North,Warehouse D,Grocery,2,189.98,379.96,Rail,Shadowfax,Delivered,4,Y,0,Y,1,,,
ORD0137,02-11-2024,03-11-2024,10-11-2024,South,Warehouse A,Apparel,4,122.66,490.64,Rail,EcomExpress,Delivered,8,N,1,N,1,,,
ORD0138,07-03-2024,09-03-2024,09-03-2024,West,Warehouse A,Home & Kitchen,2,156.54,313.08,Road,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0139,22-06-2024,23-06-2024,28-06-2024,East,Warehouse D,Beauty,1,185.86,185.86,Road,EcomExpress,Delivered,6,Y,0,Y,3,,,
ORD0140,09-09-2024,12-09-2024,13-09-2024,South,Warehouse B,Electronics,1,73.11,73.11,Road,EcomExpress,Delivered,4,N,1,Y,1,,,
ORD0141,08-08-2024,11-08-2024,13-08-2024,East,Warehouse B,Electronics,5,73.69,368.45,Road,Delhivery,Delivered,5,Y,0,Y,1,,,
ORD0142,13-11-2024,16-11-2024,19-11-2024,East,Warehouse D,Beauty,1,174.07,174.07,Air,BlueDart,Returned,6,Y,0,Y,1,,,
ORD0143,27-03-2024,30-03-2024,29-03-2024,North,Warehouse C,Electronics,3,16.24,48.72,Rail,BlueDart,Returned,2,N,1,Y,1,,,
ORD0144,03-09-2024,04-09-2024,05-09-2024,North,Warehouse D,Electronics,5,183.82,919.1,Rail,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0145,04-09-2024,05-09-2024,08-09-2024,East,Warehouse C,Beauty,5,107.88,539.4,Road,XpressBees,Cancelled,4,Y,0,N,1,,,
ORD0146,08-02-2024,10-02-2024,14-02-2024,North,Warehouse A,Electronics,5,45.05,225.25,Air,Delhivery,Delivered,6,N,1,Y,1,,,
ORD0147,21-01-2024,24-01-2024,26-01-2024,West,Warehouse C,Apparel,3,76.38,229.14,Road,BlueDart,Delivered,5,Y,0,Y,1,,,
ORD0148,23-06-2024,26-06-2024,29-06-2024,South,Warehouse B,Beauty,3,22.48,67.44,Rail,EcomExpress,Delivered,6,N,1,Y,1,,,
ORD0149,18-04-2024,19-04-2024,25-04-2024,South,Warehouse A,Grocery,2,104.43,208.86,Road,Shadowfax,Delivered,7,Y,0,Y,1,,,
ORD0150,24-06-2024,26-06-2024,26-06-2024,South,Warehouse B,Home & Kitchen,3,80.93,242.79,Rail,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0151,17-09-2024,18-09-2024,21-09-2024,North,Warehouse D,Beauty,4,169.56,678.24,Air,XpressBees,Returned,4,Y,0,Y,1,,,
ORD0152,02-11-2024,03-11-2024,04-11-2024,East,Warehouse B,Home & Kitchen,3,106.05,318.15,Road,EcomExpress,Delivered,2,Y,0,Y,1,,,
ORD0153,18-06-2024,20-06-2024,21-06-2024,North,Warehouse C,Apparel,4,55.25,221,Road,BlueDart,Delivered,3,N,1,Y,1,,,
ORD0154,16-08-2024,19-08-2024,19-08-2024,East,Warehouse A,Home & Kitchen,3,192.9,578.7,Air,Shadowfax,Returned,3,N,1,Y,1,,,
ORD0155,15-11-2024,18-11-2024,22-11-2024,West,Warehouse D,Apparel,2,12.47,24.94,Air,BlueDart,Delivered,7,Y,0,Y,1,,,
ORD0156,20-02-2024,22-02-2024,22-02-2024,South,Warehouse C,Beauty,4,132.16,528.64,Rail,EcomExpress,Delivered,2,Y,0,N,1,,,
ORD0157,14-03-2024,16-03-2024,20-03-2024,West,Warehouse D,Grocery,2,78.98,157.96,Road,Shadowfax,Delivered,6,Y,0,Y,1,,,
ORD0158,04-11-2024,07-11-2024,14-11-2024,West,Warehouse D,Electronics,1,92.86,92.86,Air,Shadowfax,Delivered,10,N,3,N,1,,,
ORD0159,26-11-2024,28-11-2024,02-12-2024,East,Warehouse C,Apparel,2,117.5,235,Road,Delhivery,Cancelled,6,Y,0,N,1,,,
ORD0160,16-07-2024,17-07-2024,22-07-2024,North,Warehouse C,Grocery,1,61.05,61.05,Rail,XpressBees,Delivered,6,N,1,Y,1,,,
ORD0161,12-10-2024,13-10-2024,14-10-2024,West,Warehouse D,Beauty,3,90.12,270.36,Road,BlueDart,Delivered,2,Y,0,N,1,,,
ORD0162,13-10-2024,14-10-2024,18-10-2024,South,Warehouse C,Beauty,2,110.64,221.28,Air,Delhivery,Delivered,5,N,2,Y,1,,,
ORD0163,25-07-2024,27-07-2024,31-07-2024,East,Warehouse A,Electronics,2,146.84,293.68,Rail,XpressBees,Delivered,6,Y,0,Y,1,,,
ORD0164,05-07-2024,07-07-2024,10-07-2024,East,Warehouse A,Home & Kitchen,3,123.51,370.53,Road,BlueDart,Delivered,5,Y,0,Y,1,,,
ORD0165,03-02-2024,05-02-2024,08-02-2024,North,Warehouse C,Home & Kitchen,2,86.83,173.66,Air,XpressBees,Delivered,5,N,1,Y,1,,,
ORD0166,30-11-2024,02-12-2024,03-12-2024,North,Warehouse B,Apparel,1,25.73,25.73,Air,XpressBees,Delivered,3,N,2,Y,1,,,
ORD0167,08-04-2024,10-04-2024,12-04-2024,West,Warehouse C,Beauty,4,146.62,586.48,Rail,BlueDart,Delivered,4,Y,0,Y,1,,,
ORD0168,26-04-2024,27-04-2024,01-05-2024,North,Warehouse A,Electronics,5,101.91,509.55,Air,EcomExpress,Delivered,5,N,2,Y,1,,,
ORD0169,02-09-2024,05-09-2024,08-09-2024,North,Warehouse D,Electronics,1,104.31,104.31,Rail,Delhivery,Delivered,6,N,1,Y,1,,,
ORD0170,24-05-2024,27-05-2024,31-05-2024,West,Warehouse A,Grocery,1,76.79,76.79,Road,XpressBees,Delivered,7,Y,0,Y,1,,,
